Name,Est Dia in M(min),Est Dia in M(max),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbiting Body,Hazardous
2494975,402.3045798,899.5803882,1997-01-15,15.03822404,15019511,Earth,TRUE
2418896,350.3926411,783.5017643,1997-01-22,14.20399021,32761632,Earth,FALSE
2436037,506.4714588,1132.504611,1997-01-22,26.47260094,38239644,Earth,FALSE
3009717,211.1324448,472.1064988,1997-01-22,18.64050281,16067923,Earth,FALSE
3775199,364.7161348,815.5300698,1997-01-22,10.99366563,69857904,Earth,FALSE
3654067,366.9061375,820.4270649,1997-02-08,15.1853763,57351216,Earth,FALSE
3715994,21.11324448,47.21064988,1997-02-08,11.78366506,40802880,Earth,FALSE
2479345,366.9061375,820.4270649,1997-02-08,15.18539084,57351264,Earth,FALSE
2136818,441.1182,986.3702813,1997-02-15,12.05782334,54935084,Earth,FALSE
2392476,402.3045798,899.5803882,1997-02-15,20.63874943,33572980,Earth,FALSE
3127411,50.64714588,113.2504611,1997-02-15,23.79202522,66836140,Earth,FALSE
3769400,44.11182,98.63702813,1997-02-15,16.67620823,40528396,Earth,FALSE
2443103,667.6594135,1492.931834,1997-02-22,16.43579031,32462118,Earth,TRUE
3092253,80.27031673,179.4898848,1997-02-22,20.27753834,35940184,Earth,TRUE
2003362,581.5070396,1300.28927,1997-03-08,17.17179463,63765460,Earth,TRUE
3273782,46.19074603,103.2856481,1997-03-08,11.91701936,13233076,Earth,FALSE
3358222,31.95618867,71.45621017,1997-03-08,11.96274457,52383196,Earth,FALSE
3367900,25.38370294,56.75968529,1997-03-08,14.37424872,42804132,Earth,FALSE
3663258,10.58168859,23.66137501,1997-03-08,8.965194399,23981302,Earth,FALSE
3745107,80.27031673,179.4898848,1997-03-08,21.90200057,67828552,Earth,FALSE
3759358,8.027031673,17.94898848,1997-03-08,3.047583825,22147284,Earth,FALSE
2483656,46.19074603,103.2856481,1997-03-08,11.9169874,13233026,Earth,FALSE
3678562,167.7084622,375.0075218,1997-03-15,19.96054179,56581160,Earth,FALSE
3754379,44.11182,98.63702813,1997-03-15,12.61995042,57405088,Earth,FALSE
